@RELATION WheezeTest_dataset

@ATTRIBUTE MEAN_GFCC1	REAL
@ATTRIBUTE MEAN_GFCC2	REAL
@ATTRIBUTE MEAN_GFCC3	REAL
@ATTRIBUTE MEAN_GFCC4	REAL
@ATTRIBUTE MEAN_GFCC5	REAL
@ATTRIBUTE MEAN_GFCC6	REAL
@ATTRIBUTE MEAN_GFCC7	REAL
@ATTRIBUTE MEAN_GFCC8	REAL
@ATTRIBUTE MEAN_GFCC9	REAL
@ATTRIBUTE MEAN_GFCC10	REAL
@ATTRIBUTE MEAN_GFCC11	REAL
@ATTRIBUTE MEAN_GFCC12	REAL
@ATTRIBUTE MEAN_GFCC13	REAL
@ATTRIBUTE MEAN_GFCC14	REAL
@ATTRIBUTE MEAN_GFCC15	REAL
@ATTRIBUTE MEAN_GFCC16	REAL
@ATTRIBUTE MEAN_GFCC17	REAL
@ATTRIBUTE MEAN_GFCC18	REAL
@ATTRIBUTE MEAN_GFCC19	REAL
@ATTRIBUTE MEAN_GFCC20	REAL
@ATTRIBUTE MEAN_GFCC21	REAL
@ATTRIBUTE MEAN_GFCC22	REAL
@ATTRIBUTE MEAN_GFCC23	REAL
@ATTRIBUTE MEAN_GFCC24	REAL
@ATTRIBUTE MEAN_GFCC25	REAL
@ATTRIBUTE MEAN_GFCC26	REAL
@ATTRIBUTE MEAN_GFCC27	REAL
@ATTRIBUTE MEAN_GFCC28	REAL
@ATTRIBUTE MEAN_GFCC29	REAL
@ATTRIBUTE MEAN_GFCC30	REAL
@ATTRIBUTE MEAN_GFCC31	REAL
@ATTRIBUTE MEAN_GFCC32	REAL
@ATTRIBUTE MEAN_GFCC33	REAL
@ATTRIBUTE MEAN_GFCC34	REAL
@ATTRIBUTE MEAN_GFCC35	REAL
@ATTRIBUTE MEAN_GFCC36	REAL
@ATTRIBUTE MEAN_GFCC37	REAL
@ATTRIBUTE MEAN_GFCC38	REAL
@ATTRIBUTE MEAN_GFCC39	REAL
@ATTRIBUTE MEAN_GFCC40	REAL
@ATTRIBUTE STD_GFCC1	REAL
@ATTRIBUTE STD_GFCC2	REAL
@ATTRIBUTE STD_GFCC3	REAL
@ATTRIBUTE STD_GFCC4	REAL
@ATTRIBUTE STD_GFCC5	REAL
@ATTRIBUTE STD_GFCC6	REAL
@ATTRIBUTE STD_GFCC7	REAL
@ATTRIBUTE STD_GFCC8	REAL
@ATTRIBUTE STD_GFCC9	REAL
@ATTRIBUTE STD_GFCC10	REAL
@ATTRIBUTE STD_GFCC11	REAL
@ATTRIBUTE STD_GFCC12	REAL
@ATTRIBUTE STD_GFCC13	REAL
@ATTRIBUTE STD_GFCC14	REAL
@ATTRIBUTE STD_GFCC15	REAL
@ATTRIBUTE STD_GFCC16	REAL
@ATTRIBUTE STD_GFCC17	REAL
@ATTRIBUTE STD_GFCC18	REAL
@ATTRIBUTE STD_GFCC19	REAL
@ATTRIBUTE STD_GFCC20	REAL
@ATTRIBUTE STD_GFCC21	REAL
@ATTRIBUTE STD_GFCC22	REAL
@ATTRIBUTE STD_GFCC23	REAL
@ATTRIBUTE STD_GFCC24	REAL
@ATTRIBUTE STD_GFCC25	REAL
@ATTRIBUTE STD_GFCC26	REAL
@ATTRIBUTE STD_GFCC27	REAL
@ATTRIBUTE STD_GFCC28	REAL
@ATTRIBUTE STD_GFCC29	REAL
@ATTRIBUTE STD_GFCC30	REAL
@ATTRIBUTE STD_GFCC31	REAL
@ATTRIBUTE STD_GFCC32	REAL
@ATTRIBUTE STD_GFCC33	REAL
@ATTRIBUTE STD_GFCC34	REAL
@ATTRIBUTE STD_GFCC35	REAL
@ATTRIBUTE STD_GFCC36	REAL
@ATTRIBUTE STD_GFCC37	REAL
@ATTRIBUTE STD_GFCC38	REAL
@ATTRIBUTE STD_GFCC39	REAL
@ATTRIBUTE STD_GFCC40	REAL
@ATTRIBUTE class 	{WheezeTest}

@DATA
-228.023361206,66.5306777954,22.6901111603,-16.6288776398,-32.5830726624,-38.1588935852,-37.5282173157,-31.6857013702,-25.7566623688,-19.0779418945,-15.6793260574,-12.0709886551,-10.3926200867,-7.54930496216,-6.2132692337,-4.72193431854,-3.62523794174,-2.49089717865,-2.83306884766,-3.5787768364,-3.89752411842,-3.74211382866,-3.11718869209,-2.67578530312,-2.54273700714,-1.62358701229,-1.51874649525,-0.955359578133,-0.995632410049,-0.576520144939,-0.462448567152,-0.557227432728,-0.819725871086,-1.04704189301,-0.879874885082,-0.934281229973,-0.776684045792,-0.65982156992,-0.363100379705,-0.281246960163,82.2413406372,37.3380355835,21.1394538879,24.4337749481,19.3167285919,11.841840744,9.30511379242,7.99716281891,7.01111602783,6.57120084763,5.83993434906,5.32880544662,4.79330539703,5.02431201935,4.73621797562,4.45613050461,4.04743909836,4.22837877274,4.08044481277,3.53376913071,3.33618044853,3.32432937622,2.90019869804,2.89291858673,2.61215281487,2.71631002426,2.36441159248,2.28328061104,2.62609529495,2.3049557209,1.92461395264,2.07230639458,1.74916541576,1.91496944427,1.84604120255,1.79493272305,1.8219974041,1.58996450901,1.60136032104,1.62424230576,WheezeTest
-228.672332764,66.0625839233,22.7569217682,-16.3501987457,-32.4144859314,-38.1116027832,-37.6980133057,-31.7026386261,-26.038772583,-19.3488197327,-15.7342758179,-12.2508363724,-10.4734783173,-7.74509382248,-6.24015712738,-4.4851474762,-3.72319817543,-2.61235618591,-2.81368684769,-3.53903079033,-3.98023533821,-3.65905618668,-2.98703503609,-2.6867442131,-2.5986597538,-1.75532448292,-1.51126003265,-0.911191880703,-1.13670802116,-0.654116511345,-0.466281652451,-0.684454619884,-0.891777157784,-1.09993708134,-0.847074866295,-0.934053063393,-0.818709492683,-0.646362900734,-0.343750029802,-0.191576525569,82.8973007202,38.2804298401,21.425151825,24.5528297424,19.5485858917,11.983127594,9.08829021454,7.98186397552,6.67566680908,6.31402158737,5.7542424202,5.45021867752,4.76242351532,4.9286813736,4.59745359421,4.41753339767,3.92967534065,4.1040225029,4.09588241577,3.54923176765,3.42502951622,3.49013972282,3.04605722427,2.76772522926,2.65337777138,2.72517800331,2.3510594368,2.32916140556,2.54347777367,2.18910598755,1.99266910553,2.02934288979,1.68224775791,1.8733830452,1.85910284519,1.77676713467,1.7902097702,1.59025263786,1.61474835873,1.547970891,WheezeTest
-227.575515747,67.0506057739,22.9982719421,-16.1471405029,-31.8979568481,-37.6467857361,-37.6066055298,-31.3477840424,-25.7787036896,-19.4283485413,-15.8275413513,-12.2326793671,-10.6796789169,-8.02317905426,-6.21401786804,-4.39912223816,-3.86286878586,-2.71994590759,-2.88515305519,-3.58392238617,-3.85861325264,-3.53008079529,-3.06586623192,-2.80749535561,-2.69114780426,-1.7718102932,-1.52572417259,-0.903624117374,-1.22251212597,-0.616869688034,-0.529008448124,-0.690216243267,-0.839766323566,-1.11675238609,-0.833153903484,-0.869303643703,-0.728653430939,-0.656387627125,-0.313615202904,-0.143857002258,81.8734588623,37.1759147644,21.4188480377,24.6403751373,19.7624263763,12.3684883118,9.36579418182,8.06468391418,6.76877593994,6.29337072372,5.843064785,5.53485584259,5.02032804489,4.77826356888,4.54867696762,4.5335111618,3.89489555359,4.12771272659,3.99484825134,3.51121854782,3.26395177841,3.51873922348,3.08256459236,2.8742249012,2.72854113579,2.73963260651,2.38453674316,2.33287572861,2.60798931122,2.17741680145,2.02639436722,2.03131461143,1.66989326477,1.87264609337,1.84525251389,1.74804842472,1.88835787773,1.64346039295,1.60626995564,1.53639519215,WheezeTest
-229.411651611,66.0006637573,23.9351291656,-15.3803415298,-31.3868160248,-37.3742752075,-37.3173179626,-31.3399200439,-26.1143550873,-19.9122962952,-16.1115932465,-12.4503164291,-10.4620847702,-7.75022745132,-6.25164937973,-4.6213722229,-3.90727829933,-2.73121404648,-2.9058880806,-3.71086454391,-3.9385406971,-3.53629136086,-3.14630413055,-2.72449302673,-2.66841244698,-1.88218069077,-1.50019776821,-0.922143995762,-1.35501635075,-0.700937271118,-0.497795134783,-0.71314817667,-0.874721586704,-1.12258064747,-0.848993659019,-0.831513762474,-0.72051602602,-0.622413516045,-0.301571875811,-0.0962539464235,82.684715271,37.718585968,21.466501236,24.8546504974,20.0970630646,12.5457334518,9.36763095856,8.16437721252,6.91125392914,6.60304546356,6.06432056427,5.7294793129,5.0636472702,4.72996616364,4.46403074265,4.48692941666,3.92026758194,4.13859891891,4.0756444931,3.43361210823,3.21222233772,3.52576589584,3.0902569294,2.94066810608,2.76694631577,2.81304311752,2.41039419174,2.33668971062,2.5065164566,2.1797606945,2.05886864662,2.00159335136,1.70966470242,1.90594148636,1.83312189579,1.74362552166,1.90353858471,1.63518404961,1.63230907917,1.54271233082,WheezeTest
-230.043167114,65.2937011719,23.3111782074,-15.5139503479,-31.2574634552,-37.231716156,-37.1989212036,-31.3130722046,-26.1308422089,-19.8699989319,-16.0414810181,-12.4702014923,-10.2026042938,-7.72551727295,-6.32809686661,-4.61529064178,-3.82290387154,-2.77812457085,-2.92421364784,-3.75374317169,-4.07659816742,-3.57443642616,-3.11665987968,-2.63657164574,-2.7825551033,-1.84077692032,-1.56044101715,-0.941143274307,-1.26719033718,-0.606724858284,-0.501486897469,-0.687284588814,-0.828214645386,-1.14929997921,-0.876088738441,-0.82253152132,-0.734820783138,-0.615715205669,-0.256967276335,-0.0573579445481,83.2621002197,38.4173240662,21.8602333069,24.8231163025,20.1008300781,12.5207967758,9.45920276642,8.34257698059,6.93410491943,6.54935646057,5.97535657883,5.64895582199,5.00328302383,4.73149347305,4.53730630875,4.54286718369,3.89861798286,4.20828390121,4.12564516068,3.51312279701,3.30961537361,3.50827622414,3.18167591095,2.94652557373,2.87331581116,2.8571035862,2.43051457405,2.36179447174,2.49560332298,2.15123224258,2.0825252533,1.98206734657,1.78358697891,1.91650629044,1.83881211281,1.73989880085,1.90061151981,1.62936496735,1.68714976311,1.51535105705,WheezeTest
-231.062438965,65.0022659302,23.2865715027,-15.6671590805,-31.4107570648,-37.7757644653,-37.7929153442,-31.7626361847,-26.4909534454,-19.7273178101,-15.8939971924,-12.4285354614,-9.83615589142,-7.57721710205,-6.34557914734,-4.4343752861,-3.76005220413,-2.78140544891,-3.16514468193,-3.67109751701,-4.04700803757,-3.62822985649,-3.03571629524,-2.69430422783,-2.67380976677,-1.80888438225,-1.4309835434,-0.98209631443,-1.17216205597,-0.54756373167,-0.498591780663,-0.667194545269,-0.843447804451,-1.215077281,-0.899526238441,-0.861366152763,-0.880638062954,-0.662986159325,-0.267532974482,-0.0804845020175,83.9896697998,38.7994155884,21.7421741486,24.7845077515,20.0108184814,11.9043874741,9.27254867554,8.57434654236,7.13593959808,6.6046833992,5.98610115051,5.69657087326,4.89606666565,4.82173442841,4.50727891922,4.61914539337,3.89019680023,4.25700902939,4.05230522156,3.48930931091,3.28101110458,3.58055615425,3.24568748474,3.06936740875,2.78816223145,2.95229744911,2.29206490517,2.38758778572,2.48021745682,2.17176771164,2.15303659439,1.96713447571,1.77778625488,1.89044129848,1.84036564827,1.73368918896,1.85208761692,1.6240350008,1.66241824627,1.50188279152,WheezeTest
-231.963928223,63.9747505188,23.0594348907,-15.5831785202,-31.0160121918,-37.4228210449,-37.5446090698,-31.6833209991,-26.6380386353,-20.0903053284,-16.0369224548,-12.3677654266,-10.0229587555,-7.66856384277,-6.55108118057,-4.3509721756,-3.89786100388,-2.91692137718,-3.30579543114,-3.55350089073,-3.85371518135,-3.7551548481,-3.18822026253,-2.61152005196,-2.64182639122,-1.88105356693,-1.57112753391,-1.11796212196,-1.17641294003,-0.562657594681,-0.545481860638,-0.743832588196,-0.877457916737,-1.17012119293,-0.847480297089,-0.869992077351,-0.825937092304,-0.676207363605,-0.262994945049,-0.149239912629,84.9152908325,40.0736961365,21.7627792358,24.7618274689,20.2748355865,12.2264347076,9.69701862335,8.68126392365,7.25549316406,6.6149020195,6.00285577774,5.66965293884,5.12799024582,4.72473144531,4.33719730377,4.53061008453,3.85610508919,4.29158449173,3.99654626846,3.46727442741,3.43763399124,3.57286190987,3.28731417656,3.09713792801,2.79292392731,3.00376391411,2.36235332489,2.48357486725,2.55245113373,2.09202408791,2.13703918457,1.87134468555,1.77252304554,1.89732205868,1.86461424828,1.72921490669,1.87887561321,1.61229622364,1.65484845638,1.49204444885,WheezeTest
-233.906524658,62.7298660278,23.7784137726,-14.3074407578,-30.3298473358,-37.8034095764,-38.1170883179,-32.039981842,-26.8996810913,-19.9655399323,-16.0583248138,-12.5908813477,-10.1240329742,-7.694003582,-6.29921960831,-4.00760173798,-3.84590554237,-3.02398061752,-3.30464148521,-3.52035140991,-3.836789608,-3.76981043816,-3.18212532997,-2.76957654953,-2.71249461174,-1.82909238338,-1.42032384872,-1.12668657303,-1.09378683567,-0.511816978455,-0.517207860947,-0.729941427708,-0.920006394386,-1.16029024124,-0.914069712162,-0.88098436594,-0.927746415138,-0.698505103588,-0.311464458704,-0.214000046253,84.4714889526,39.4771118164,21.0124397278,22.5743408203,19.1342926025,12.6116218567,9.35955429077,8.19779872894,6.90793371201,6.67934465408,5.93236875534,5.68139219284,5.34091711044,4.49448776245,4.3988032341,4.51816034317,3.99742722511,4.12631559372,4.00089073181,3.54616069794,3.48681712151,3.57587075233,3.29061627388,3.16674876213,2.80229330063,2.96133971214,2.3881187439,2.44770312309,2.56400036812,2.03474593163,2.1266014576,1.85962569714,1.76123356819,1.90705811977,1.81771063805,1.68780207634,1.87208425999,1.604164958,1.63708114624,1.47550797462,WheezeTest
-234.759307861,62.3440437317,23.9590778351,-14.07533741,-30.2852783203,-37.8733596802,-38.1096687317,-32.0750808716,-27.0706787109,-20.1191864014,-16.1718635559,-12.4670276642,-9.93935680389,-7.53135871887,-6.32700538635,-4.09944963455,-3.88104128838,-3.05230593681,-3.30580759048,-3.49366736412,-3.85843086243,-3.78649783134,-3.2361934185,-2.82103228569,-2.71208667755,-1.83036494255,-1.38335108757,-1.07696568966,-1.10602807999,-0.521228790283,-0.563930630684,-0.74552989006,-0.905182719231,-1.12784802914,-0.91234099865,-0.879858136177,-0.938845694065,-0.719142735004,-0.29327070713,-0.224294379354,82.7128295898,39.2970085144,20.9596328735,22.3970375061,19.1486568451,12.710694313,9.32151699066,8.0580739975,7.00472736359,6.7571144104,5.85685968399,5.62209892273,5.31789922714,4.46880674362,4.37916135788,4.49358463287,3.93589925766,4.08843898773,4.02169322968,3.58777499199,3.46804976463,3.55141329765,3.29500937462,3.12925362587,2.76837921143,2.97062468529,2.40649700165,2.48975419998,2.57428598404,2.01963233948,2.12307620049,1.8787958622,1.74725413322,1.87767875195,1.81414783001,1.67502367496,1.85094368458,1.61758065224,1.62215054035,1.47690320015,WheezeTest
-235.285552979,61.984992981,23.7976455688,-14.0940723419,-30.4967556,-37.7507400513,-37.9192581177,-32.0708694458,-27.0300750732,-20.0951652527,-16.172492981,-12.3086967468,-9.6011505127,-7.35296869278,-6.37107467651,-4.18360757828,-3.95744681358,-3.10796689987,-3.33013892174,-3.47980713844,-3.85242271423,-3.69163656235,-3.11136102676,-2.75879096985,-2.66824054718,-1.80813884735,-1.47552764416,-1.16902351379,-1.0929261446,-0.422941118479,-0.535740196705,-0.729084849358,-0.953254520893,-1.11472415924,-0.868906736374,-0.8119135499,-0.923383295536,-0.693704068661,-0.250580042601,-0.216134816408,81.7409133911,38.3356513977,21.2292957306,22.3296642303,19.4819927216,12.6381845474,9.27045345306,7.96898651123,6.95915985107,6.75087070465,5.83936500549,5.63004827499,5.38868713379,4.65652942657,4.34877252579,4.401263237,3.93611478806,4.1460018158,4.04681158066,3.56024336815,3.46871900558,3.54807877541,3.36824846268,3.21274352074,2.78522753716,2.96914148331,2.4286646843,2.45223903656,2.60535693169,2.04945373535,2.15879583359,1.92211163044,1.73508787155,1.89828562737,1.80154061317,1.62731778622,1.87391555309,1.60700392723,1.5810008049,1.45429313183,WheezeTest
