@RELATION CoughTest_dataset

@ATTRIBUTE MEAN_MFCC1	REAL
@ATTRIBUTE MEAN_MFCC2	REAL
@ATTRIBUTE MEAN_MFCC3	REAL
@ATTRIBUTE MEAN_MFCC4	REAL
@ATTRIBUTE MEAN_MFCC5	REAL
@ATTRIBUTE MEAN_MFCC6	REAL
@ATTRIBUTE MEAN_MFCC7	REAL
@ATTRIBUTE MEAN_MFCC8	REAL
@ATTRIBUTE MEAN_MFCC9	REAL
@ATTRIBUTE MEAN_MFCC10	REAL
@ATTRIBUTE MEAN_MFCC11	REAL
@ATTRIBUTE MEAN_MFCC12	REAL
@ATTRIBUTE MEAN_MFCC13	REAL
@ATTRIBUTE MEAN_MFCCD1	REAL
@ATTRIBUTE MEAN_MFCCD2	REAL
@ATTRIBUTE MEAN_MFCCD3	REAL
@ATTRIBUTE MEAN_MFCCD4	REAL
@ATTRIBUTE MEAN_MFCCD5	REAL
@ATTRIBUTE MEAN_MFCCD6	REAL
@ATTRIBUTE MEAN_MFCCD7	REAL
@ATTRIBUTE MEAN_MFCCD8	REAL
@ATTRIBUTE MEAN_MFCCD9	REAL
@ATTRIBUTE MEAN_MFCCD10	REAL
@ATTRIBUTE MEAN_MFCCD11	REAL
@ATTRIBUTE MEAN_MFCCD12	REAL
@ATTRIBUTE MEAN_MFCCD13	REAL
@ATTRIBUTE MEAN_MFCCDD1	REAL
@ATTRIBUTE MEAN_MFCCDD2	REAL
@ATTRIBUTE MEAN_MFCCDD3	REAL
@ATTRIBUTE MEAN_MFCCDD4	REAL
@ATTRIBUTE MEAN_MFCCDD5	REAL
@ATTRIBUTE MEAN_MFCCDD6	REAL
@ATTRIBUTE MEAN_MFCCDD7	REAL
@ATTRIBUTE MEAN_MFCCDD8	REAL
@ATTRIBUTE MEAN_MFCCDD9	REAL
@ATTRIBUTE MEAN_MFCCDD10	REAL
@ATTRIBUTE MEAN_MFCCDD11	REAL
@ATTRIBUTE MEAN_MFCCDD12	REAL
@ATTRIBUTE MEAN_MFCCDD13	REAL
@ATTRIBUTE STD_MFCC1	REAL
@ATTRIBUTE STD_MFCC2	REAL
@ATTRIBUTE STD_MFCC3	REAL
@ATTRIBUTE STD_MFCC4	REAL
@ATTRIBUTE STD_MFCC5	REAL
@ATTRIBUTE STD_MFCC6	REAL
@ATTRIBUTE STD_MFCC7	REAL
@ATTRIBUTE STD_MFCC8	REAL
@ATTRIBUTE STD_MFCC9	REAL
@ATTRIBUTE STD_MFCC10	REAL
@ATTRIBUTE STD_MFCC11	REAL
@ATTRIBUTE STD_MFCC12	REAL
@ATTRIBUTE STD_MFCC13	REAL
@ATTRIBUTE STD_MFCCD1	REAL
@ATTRIBUTE STD_MFCCD2	REAL
@ATTRIBUTE STD_MFCCD3	REAL
@ATTRIBUTE STD_MFCCD4	REAL
@ATTRIBUTE STD_MFCCD5	REAL
@ATTRIBUTE STD_MFCCD6	REAL
@ATTRIBUTE STD_MFCCD7	REAL
@ATTRIBUTE STD_MFCCD8	REAL
@ATTRIBUTE STD_MFCCD9	REAL
@ATTRIBUTE STD_MFCCD10	REAL
@ATTRIBUTE STD_MFCCD11	REAL
@ATTRIBUTE STD_MFCCD12	REAL
@ATTRIBUTE STD_MFCCD13	REAL
@ATTRIBUTE STD_MFCCDD1	REAL
@ATTRIBUTE STD_MFCCDD2	REAL
@ATTRIBUTE STD_MFCCDD3	REAL
@ATTRIBUTE STD_MFCCDD4	REAL
@ATTRIBUTE STD_MFCCDD5	REAL
@ATTRIBUTE STD_MFCCDD6	REAL
@ATTRIBUTE STD_MFCCDD7	REAL
@ATTRIBUTE STD_MFCCDD8	REAL
@ATTRIBUTE STD_MFCCDD9	REAL
@ATTRIBUTE STD_MFCCDD10	REAL
@ATTRIBUTE STD_MFCCDD11	REAL
@ATTRIBUTE STD_MFCCDD12	REAL
@ATTRIBUTE STD_MFCCDD13	REAL
@ATTRIBUTE class 	{CoughTest}

@DATA
-897.508544922,82.7726898193,3.05561137199,10.6575145721,10.2216043472,8.9139919281,-0.0431950837374,-3.91252470016,-10.094420433,11.6306610107,11.3023529053,10.2411432266,4.83388614655,54.6943473816,54.6943473816,54.6943473816,54.6943473816,54.6943473816,-6.05704975128,-0.292536526918,-0.0506857335567,0.344414263964,0.344414263964,0.344414263964,0.344414263964,0.344414263964,-55.0262298584,-55.0262298584,-55.0262298584,-55.0262298584,-55.0262298584,4.73755264282,1.02351045609,1.77935671806,1.16070699692,1.16070699692,1.16070699692,1.16070699692,1.16070699692,190.436889648,40.6603126526,30.0041980743,17.8034687042,17.6768436432,16.3049755096,18.1429195404,15.2828245163,21.3255233765,12.772187233,12.2627162933,9.6306848526,11.4670324326,14.6664199829,14.6664199829,14.6664199829,14.6664199829,14.6664199829,4.27488994598,3.10735177994,2.28357887268,2.13117027283,2.13117027283,2.13117027283,2.13117027283,2.13117027283,12.5105628967,12.5105628967,12.5105628967,12.5105628967,12.5105628967,3.19141745567,1.79837620258,1.74946320057,1.22958362103,1.22958362103,1.22958362103,1.22958362103,1.22958362103,CoughTest
-921.944641113,82.8660583496,5.45011901855,11.9893312454,12.2257947922,9.34889030457,1.75908720493,-3.29412221909,-8.72283554077,12.5603246689,12.0362043381,9.81596374512,4.68111658096,56.4064102173,56.4064102173,56.4064102173,56.4064102173,56.4064102173,-6.07958841324,-0.441382437944,-0.222021520138,0.12718655169,0.12718655169,0.12718655169,0.12718655169,0.12718655169,-56.6377296448,-56.6377296448,-56.6377296448,-56.6377296448,-56.6377296448,4.6639547348,1.07213890553,1.70860314369,1.11280608177,1.11280608177,1.11280608177,1.11280608177,1.11280608177,185.252883911,40.5071487427,30.0048770905,17.7470207214,16.2517433167,16.3511066437,17.7963981628,15.7004699707,21.8446369171,12.0600337982,11.7059764862,9.38819789886,11.3031930923,14.7809343338,14.7809343338,14.7809343338,14.7809343338,14.7809343338,4.25611782074,3.11923718452,2.27233481407,2.06666350365,2.06666350365,2.06666350365,2.06666350365,2.06666350365,12.1670913696,12.1670913696,12.1670913696,12.1670913696,12.1670913696,3.2652323246,1.76322305202,1.77137672901,1.23519575596,1.23519575596,1.23519575596,1.23519575596,1.23519575596,CoughTest
-942.130554199,79.2142333984,7.27030038834,13.9122648239,14.4978713989,10.6724452972,3.44510984421,-1.65302586555,-6.22354745865,13.0385446548,13.4317760468,9.3096075058,5.16161727905,58.1689453125,58.1689453125,58.1689453125,58.1689453125,58.1689453125,-5.78946065903,-0.529059350491,-0.442422866821,-0.112810581923,-0.112810581923,-0.112810581923,-0.112810581923,-0.112810581923,-58.0186462402,-58.0186462402,-58.0186462402,-58.0186462402,-58.0186462402,4.27240657806,1.03871572018,1.59377872944,1.05247199535,1.05247199535,1.05247199535,1.05247199535,1.05247199535,182.163421631,40.1482429504,30.2633857727,17.0666484833,14.4323091507,15.6599416733,17.637720108,15.8419370651,21.3362026215,11.6864442825,8.93063259125,8.78988838196,11.2793836594,14.5523786545,14.5523786545,14.5523786545,14.5523786545,14.5523786545,4.18155145645,3.08683538437,2.1715464592,1.9484307766,1.9484307766,1.9484307766,1.9484307766,1.9484307766,11.9269332886,11.9269332886,11.9269332886,11.9269332886,11.9269332886,3.16560101509,1.74482274055,1.78072917461,1.23901307583,1.23901307583,1.23901307583,1.23901307583,1.23901307583,CoughTest
-944.34173584,77.4828491211,6.77296829224,13.862241745,14.5632696152,10.8560905457,3.88961982727,-0.919264614582,-5.46973514557,12.9051275253,12.9645996094,8.88048267365,5.22087621689,58.5251502991,58.5251502991,58.5251502991,58.5251502991,58.5251502991,-5.58793067932,-0.499103099108,-0.499738633633,-0.18870075047,-0.18870075047,-0.18870075047,-0.18870075047,-0.18870075047,-58.1289176941,-58.1289176941,-58.1289176941,-58.1289176941,-58.1289176941,4.12472105026,0.910296201706,1.4819239378,1.00197696686,1.00197696686,1.00197696686,1.00197696686,1.00197696686,183.341964722,40.2594299316,29.7001037598,16.6776447296,14.2560033798,15.5874652863,17.6610031128,15.7846097946,21.216047287,11.630443573,8.63703536987,8.43295192719,11.1557331085,14.7089061737,14.7089061737,14.7089061737,14.7089061737,14.7089061737,4.15228176117,3.05959844589,2.14466881752,1.94240009785,1.94240009785,1.94240009785,1.94240009785,1.94240009785,11.9747772217,11.9747772217,11.9747772217,11.9747772217,11.9747772217,3.16181159019,1.66026246548,1.76946306229,1.23599982262,1.23599982262,1.23599982262,1.23599982262,1.23599982262,CoughTest
-950.333068848,76.4681015015,6.38532924652,13.3399963379,14.4642429352,11.1708345413,4.58133029938,0.278437852859,-4.88925218582,12.7253799438,13.0893297195,9.25534057617,5.40710163116,59.1238288879,59.1238288879,59.1238288879,59.1238288879,59.1238288879,-5.41334581375,-0.410453557968,-0.447080731392,-0.208535164595,-0.208535164595,-0.208535164595,-0.208535164595,-0.208535164595,-58.4474067688,-58.4474067688,-58.4474067688,-58.4474067688,-58.4474067688,4.0081205368,0.789791703224,1.37238180637,0.940986454487,0.940986454487,0.940986454487,0.940986454487,0.940986454487,180.044952393,40.5985679626,29.0630111694,16.2174930573,13.9945383072,15.2329530716,16.8336086273,15.8098640442,21.3289413452,11.694811821,8.40330219269,8.44889736176,11.2619943619,14.4863786697,14.4863786697,14.4863786697,14.4863786697,14.4863786697,4.14636325836,2.98301696777,2.11746954918,1.91659629345,1.91659629345,1.91659629345,1.91659629345,1.91659629345,11.7199754715,11.7199754715,11.7199754715,11.7199754715,11.7199754715,3.16921138763,1.63386046886,1.73445653915,1.2056081295,1.2056081295,1.2056081295,1.2056081295,1.2056081295,CoughTest
-966.70715332,76.6228790283,7.06953001022,13.3703603745,14.5028266907,12.3100681305,5.29993152618,0.502732098103,-3.70093011856,13.0014333725,13.8648033142,9.10731124878,5.92718172073,60.317741394,60.317741394,60.317741394,60.317741394,60.317741394,-5.3622546196,-0.369008541107,-0.443073183298,-0.238040164113,-0.238040164113,-0.238040164113,-0.238040164113,-0.238040164113,-59.4310188293,-59.4310188293,-59.4310188293,-59.4310188293,-59.4310188293,3.98101520538,0.780372798443,1.27319943905,0.894137978554,0.894137978554,0.894137978554,0.894137978554,0.894137978554,167.540222168,40.5908508301,29.0268287659,15.5011672974,14.2047319412,14.83111763,16.4877643585,15.029088974,20.7388477325,11.8231878281,8.19601726532,8.41713619232,10.7883377075,13.5705270767,13.5705270767,13.5705270767,13.5705270767,13.5705270767,4.11132955551,2.96099281311,2.07089614868,1.9388563633,1.9388563633,1.9388563633,1.9388563633,1.9388563633,10.9897956848,10.9897956848,10.9897956848,10.9897956848,10.9897956848,3.14715313911,1.63587450981,1.72028970718,1.17422223091,1.17422223091,1.17422223091,1.17422223091,1.17422223091,CoughTest
-981.033630371,74.023979187,8.12943077087,13.8337001801,15.0072994232,13.3606395721,7.25006628036,1.24310791492,-2.06972122192,14.031419754,14.4686164856,8.65813732147,6.91183757782,61.58801651,61.58801651,61.58801651,61.58801651,61.58801651,-5.05843496323,-0.338694244623,-0.504941940308,-0.321065962315,-0.321065962315,-0.321065962315,-0.321065962315,-0.321065962315,-60.3582458496,-60.3582458496,-60.3582458496,-60.3582458496,-60.3582458496,3.77005934715,0.716526508331,1.09099125862,0.813518047333,0.813518047333,0.813518047333,0.813518047333,0.813518047333,160.754135132,38.0643920898,28.5526123047,15.3580236435,13.7854309082,14.1755714417,15.5469522476,14.1990880966,18.9629878998,10.5132141113,7.88859939575,8.14744377136,9.89860343933,12.7469558716,12.7469558716,12.7469558716,12.7469558716,12.7469558716,3.81366872787,2.94329738617,2.0233809948,1.91001355648,1.91001355648,1.91001355648,1.91001355648,1.91001355648,10.5282487869,10.5282487869,10.5282487869,10.5282487869,10.5282487869,2.96747231483,1.63485467434,1.63102471828,1.11801886559,1.11801886559,1.11801886559,1.11801886559,1.11801886559,CoughTest
-986.095336914,71.082244873,8.3059797287,13.9065752029,15.0321750641,13.9649457932,7.93860292435,1.85099065304,-0.313822865486,15.0494537354,14.5878639221,8.95071220398,8.12459468842,62.2459335327,62.2459335327,62.2459335327,62.2459335327,62.2459335327,-4.68658590317,-0.237495914102,-0.453996479511,-0.269600600004,-0.269600600004,-0.269600600004,-0.269600600004,-0.269600600004,-60.6349334717,-60.6349334717,-60.6349334717,-60.6349334717,-60.6349334717,3.61854982376,0.64573597908,0.970969200134,0.752286732197,0.752286732197,0.752286732197,0.752286732197,0.752286732197,158.725631714,31.8824081421,27.5663318634,14.9737815857,13.2955760956,12.2857503891,14.7399291992,13.6777105331,16.2461032867,8.73691558838,7.90104675293,8.43982219696,9.13255405426,12.1921272278,12.1921272278,12.1921272278,12.1921272278,12.1921272278,2.93030619621,2.76781773567,1.9651004076,1.86152303219,1.86152303219,1.86152303219,1.86152303219,1.86152303219,10.3444576263,10.3444576263,10.3444576263,10.3444576263,10.3444576263,2.58455467224,1.43850553036,1.40944862366,1.01699388027,1.01699388027,1.01699388027,1.01699388027,1.01699388027,CoughTest
-986.909606934,70.3134384155,8.03370666504,13.6288194656,14.7624807358,14.0211849213,8.12801265717,1.90145730972,-0.218816593289,15.3110380173,14.8238515854,9.14550209045,8.42251777649,62.3684921265,62.3684921265,62.3684921265,62.3684921265,62.3684921265,-4.58093690872,-0.1645847857,-0.391937792301,-0.21976056695,-0.21976056695,-0.21976056695,-0.21976056695,-0.21976056695,-60.6681594849,-60.6681594849,-60.6681594849,-60.6681594849,-60.6681594849,3.58957886696,0.634191334248,0.947276830673,0.734839558601,0.734839558601,0.734839558601,0.734839558601,0.734839558601,159.326858521,32.5189857483,27.285861969,14.7719116211,13.0266647339,12.3511323929,14.8396835327,13.850022316,16.3573970795,8.59742355347,7.78507614136,8.44962787628,9.2466583252,12.2948865891,12.2948865891,12.2948865891,12.2948865891,12.2948865891,2.94742012024,2.6868584156,1.90311348438,1.82206749916,1.82206749916,1.82206749916,1.82206749916,1.82206749916,10.3717517853,10.3717517853,10.3717517853,10.3717517853,10.3717517853,2.62107014656,1.43778824806,1.41235733032,1.03332901001,1.03332901001,1.03332901001,1.03332901001,1.03332901001,CoughTest
-989.292541504,68.8453903198,8.74424266815,14.1868419647,14.9568786621,14.1571445465,8.15154266357,2.10157036781,-0.0482967309654,15.2075452805,14.758849144,9.03102970123,8.18567562103,62.5922088623,62.5922088623,62.5922088623,62.5922088623,62.5922088623,-4.53174495697,-0.249089479446,-0.455272525549,-0.269042521715,-0.269042521715,-0.269042521715,-0.269042521715,-0.269042521715,-60.8681297302,-60.8681297302,-60.8681297302,-60.8681297302,-60.8681297302,3.48064994812,0.660497605801,0.95975369215,0.722373664379,0.722373664379,0.722373664379,0.722373664379,0.722373664379,160.695724487,33.3005104065,27.4517116547,14.6719522476,12.9554758072,12.3169231415,14.8192691803,13.7706270218,16.373216629,8.35237121582,7.6054058075,8.39514636993,9.06508922577,12.4358520508,12.4358520508,12.4358520508,12.4358520508,12.4358520508,2.96761608124,2.66777873039,1.88408756256,1.8213596344,1.8213596344,1.8213596344,1.8213596344,1.8213596344,10.4805765152,10.4805765152,10.4805765152,10.4805765152,10.4805765152,2.66698336601,1.41932058334,1.39547812939,1.02951622009,1.02951622009,1.02951622009,1.02951622009,1.02951622009,CoughTest
