@RELATION WheezeTest_dataset

@ATTRIBUTE MEAN_MFCC1	REAL
@ATTRIBUTE MEAN_MFCC2	REAL
@ATTRIBUTE MEAN_MFCC3	REAL
@ATTRIBUTE MEAN_MFCC4	REAL
@ATTRIBUTE MEAN_MFCC5	REAL
@ATTRIBUTE MEAN_MFCC6	REAL
@ATTRIBUTE MEAN_MFCC7	REAL
@ATTRIBUTE MEAN_MFCC8	REAL
@ATTRIBUTE MEAN_MFCC9	REAL
@ATTRIBUTE MEAN_MFCC10	REAL
@ATTRIBUTE MEAN_MFCC11	REAL
@ATTRIBUTE MEAN_MFCC12	REAL
@ATTRIBUTE MEAN_MFCC13	REAL
@ATTRIBUTE MEAN_MFCCD1	REAL
@ATTRIBUTE MEAN_MFCCD2	REAL
@ATTRIBUTE MEAN_MFCCD3	REAL
@ATTRIBUTE MEAN_MFCCD4	REAL
@ATTRIBUTE MEAN_MFCCD5	REAL
@ATTRIBUTE MEAN_MFCCD6	REAL
@ATTRIBUTE MEAN_MFCCD7	REAL
@ATTRIBUTE MEAN_MFCCD8	REAL
@ATTRIBUTE MEAN_MFCCD9	REAL
@ATTRIBUTE MEAN_MFCCD10	REAL
@ATTRIBUTE MEAN_MFCCD11	REAL
@ATTRIBUTE MEAN_MFCCD12	REAL
@ATTRIBUTE MEAN_MFCCD13	REAL
@ATTRIBUTE MEAN_MFCCDD1	REAL
@ATTRIBUTE MEAN_MFCCDD2	REAL
@ATTRIBUTE MEAN_MFCCDD3	REAL
@ATTRIBUTE MEAN_MFCCDD4	REAL
@ATTRIBUTE MEAN_MFCCDD5	REAL
@ATTRIBUTE MEAN_MFCCDD6	REAL
@ATTRIBUTE MEAN_MFCCDD7	REAL
@ATTRIBUTE MEAN_MFCCDD8	REAL
@ATTRIBUTE MEAN_MFCCDD9	REAL
@ATTRIBUTE MEAN_MFCCDD10	REAL
@ATTRIBUTE MEAN_MFCCDD11	REAL
@ATTRIBUTE MEAN_MFCCDD12	REAL
@ATTRIBUTE MEAN_MFCCDD13	REAL
@ATTRIBUTE STD_MFCC1	REAL
@ATTRIBUTE STD_MFCC2	REAL
@ATTRIBUTE STD_MFCC3	REAL
@ATTRIBUTE STD_MFCC4	REAL
@ATTRIBUTE STD_MFCC5	REAL
@ATTRIBUTE STD_MFCC6	REAL
@ATTRIBUTE STD_MFCC7	REAL
@ATTRIBUTE STD_MFCC8	REAL
@ATTRIBUTE STD_MFCC9	REAL
@ATTRIBUTE STD_MFCC10	REAL
@ATTRIBUTE STD_MFCC11	REAL
@ATTRIBUTE STD_MFCC12	REAL
@ATTRIBUTE STD_MFCC13	REAL
@ATTRIBUTE STD_MFCCD1	REAL
@ATTRIBUTE STD_MFCCD2	REAL
@ATTRIBUTE STD_MFCCD3	REAL
@ATTRIBUTE STD_MFCCD4	REAL
@ATTRIBUTE STD_MFCCD5	REAL
@ATTRIBUTE STD_MFCCD6	REAL
@ATTRIBUTE STD_MFCCD7	REAL
@ATTRIBUTE STD_MFCCD8	REAL
@ATTRIBUTE STD_MFCCD9	REAL
@ATTRIBUTE STD_MFCCD10	REAL
@ATTRIBUTE STD_MFCCD11	REAL
@ATTRIBUTE STD_MFCCD12	REAL
@ATTRIBUTE STD_MFCCD13	REAL
@ATTRIBUTE STD_MFCCDD1	REAL
@ATTRIBUTE STD_MFCCDD2	REAL
@ATTRIBUTE STD_MFCCDD3	REAL
@ATTRIBUTE STD_MFCCDD4	REAL
@ATTRIBUTE STD_MFCCDD5	REAL
@ATTRIBUTE STD_MFCCDD6	REAL
@ATTRIBUTE STD_MFCCDD7	REAL
@ATTRIBUTE STD_MFCCDD8	REAL
@ATTRIBUTE STD_MFCCDD9	REAL
@ATTRIBUTE STD_MFCCDD10	REAL
@ATTRIBUTE STD_MFCCDD11	REAL
@ATTRIBUTE STD_MFCCDD12	REAL
@ATTRIBUTE STD_MFCCDD13	REAL
@ATTRIBUTE class 	{WheezeTest}

@DATA
-890.878845215,161.379745483,88.9647445679,57.4487228394,35.8033256531,24.0326385498,13.3119220734,7.88510131836,1.53376567364,-0.636602342129,-3.30459713936,-3.62689876556,-3.98964238167,48.7407417297,48.7407417297,48.7407417297,48.7407417297,48.7407417297,-17.1996116638,-10.466999054,-7.04571771622,-4.73175430298,-4.73175430298,-4.73175430298,-4.73175430298,-4.73175430298,-57.6542663574,-57.6542663574,-57.6542663574,-57.6542663574,-57.6542663574,7.13423252106,3.6550488472,2.46159100533,1.73087716103,1.73087716103,1.73087716103,1.73087716103,1.73087716103,75.455909729,37.8986854553,15.6976747513,12.1293582916,15.102063179,14.4893913269,12.6655769348,11.1163759232,8.71299648285,8.11719322205,7.95118331909,7.21809720993,7.01682376862,8.00541114807,8.00541114807,8.00541114807,8.00541114807,8.00541114807,3.95661640167,2.20164847374,2.05637001991,2.08299398422,2.08299398422,2.08299398422,2.08299398422,2.08299398422,5.69030427933,5.69030427933,5.69030427933,5.69030427933,5.69030427933,3.5643901825,1.92084515095,1.1853736639,0.990374147892,0.990374147892,0.990374147892,0.990374147892,0.990374147892,WheezeTest
-891.378234863,160.936828613,88.7520217896,57.4971542358,35.9124031067,24.3788471222,13.3856248856,7.89259243011,1.81906449795,-0.564065635204,-3.22468972206,-3.52190160751,-4.20915555954,48.8300552368,48.8300552368,48.8300552368,48.8300552368,48.8300552368,-17.1423053741,-10.446056366,-7.0489988327,-4.76442956924,-4.76442956924,-4.76442956924,-4.76442956924,-4.76442956924,-57.6906509399,-57.6906509399,-57.6906509399,-57.6906509399,-57.6906509399,7.09020709991,3.62579774857,2.45296764374,1.71306502819,1.71306502819,1.71306502819,1.71306502819,1.71306502819,75.8187637329,38.4305992126,16.1425228119,11.9694757462,15.163936615,14.6473073959,12.8342056274,11.0906190872,8.89770507812,8.12162685394,7.96142530441,7.52196407318,7.09028768539,8.09700775146,8.09700775146,8.09700775146,8.09700775146,8.09700775146,4.03234624863,2.22509098053,2.0497944355,2.07870817184,2.07870817184,2.07870817184,2.07870817184,2.07870817184,5.70085287094,5.70085287094,5.70085287094,5.70085287094,5.70085287094,3.58905816078,1.94087135792,1.18057835102,0.995108604431,0.995108604431,0.995108604431,0.995108604431,0.995108604431,WheezeTest
-890.656555176,161.682159424,88.9783859253,57.4128684998,35.8280410767,24.7424354553,13.6380395889,7.93445491791,1.92788147926,-0.20050278306,-2.86295771599,-3.38031744957,-4.22538375854,48.7623710632,48.7623710632,48.7623710632,48.7623710632,48.7623710632,-17.1638145447,-10.4135608673,-7.01402711868,-4.76198148727,-4.76198148727,-4.76198148727,-4.76198148727,-4.76198148727,-57.6433105469,-57.6433105469,-57.6433105469,-57.6433105469,-57.6433105469,7.14130306244,3.63940191269,2.43294692039,1.68435823917,1.68435823917,1.68435823917,1.68435823917,1.68435823917,75.2168502808,37.7105865479,16.0646800995,12.1137466431,15.172337532,14.7177734375,12.8452796936,11.1892347336,9.00405788422,8.33377552032,8.09906864166,7.6934671402,7.18708848953,8.0518693924,8.0518693924,8.0518693924,8.0518693924,8.0518693924,4.05375432968,2.29061889648,2.0835609436,2.09152555466,2.09152555466,2.09152555466,2.09152555466,2.09152555466,5.66852331161,5.66852331161,5.66852331161,5.66852331161,5.66852331161,3.55075716972,1.94296884537,1.20081722736,1.00399827957,1.00399827957,1.00399827957,1.00399827957,1.00399827957,WheezeTest
-892.367553711,160.186904907,89.1122894287,57.7401504517,36.304561615,25.0378952026,13.9044761658,8.19826698303,2.50223994255,0.164901316166,-2.47052669525,-2.93420600891,-3.82765364647,49.0065803528,49.0065803528,49.0065803528,49.0065803528,49.0065803528,-17.0233688354,-10.3916864395,-7.00284814835,-4.75380849838,-4.75380849838,-4.75380849838,-4.75380849838,-4.75380849838,-57.781337738,-57.781337738,-57.781337738,-57.781337738,-57.781337738,7.03319168091,3.63148593903,2.43918347359,1.68915331364,1.68915331364,1.68915331364,1.68915331364,1.68915331364,75.9215164185,38.465637207,16.0463466644,11.9266557693,15.2132329941,14.9194030762,12.9868593216,11.4380540848,9.51642227173,8.46926403046,8.30930328369,7.87432003021,7.25730085373,8.18742752075,8.18742752075,8.18742752075,8.18742752075,8.18742752075,4.13714790344,2.29709434509,2.07922363281,2.08506417274,2.08506417274,2.08506417274,2.08506417274,2.08506417274,5.71682882309,5.71682882309,5.71682882309,5.71682882309,5.71682882309,3.60314083099,1.95121395588,1.20133006573,1.00700843334,1.00700843334,1.00700843334,1.00700843334,1.00700843334,WheezeTest
-892.775146484,159.778305054,88.5668640137,57.338306427,36.1279525757,24.9479103088,13.8735599518,8.22669792175,2.65063476562,0.0301812905818,-2.38037610054,-2.81022167206,-3.81412529945,49.087852478,49.087852478,49.087852478,49.087852478,49.087852478,-16.9536495209,-10.3231506348,-6.95295715332,-4.72911691666,-4.72911691666,-4.72911691666,-4.72911691666,-4.72911691666,-57.7670822144,-57.7670822144,-57.7670822144,-57.7670822144,-57.7670822144,7.01224565506,3.59985542297,2.41937065125,1.6762458086,1.6762458086,1.6762458086,1.6762458086,1.6762458086,76.4003067017,38.7945480347,16.6661815643,12.0106925964,15.3312292099,14.9769210815,13.0008563995,11.411277771,9.56762599945,8.23683166504,8.39036464691,7.99790620804,7.20830392838,8.25703907013,8.25703907013,8.25703907013,8.25703907013,8.25703907013,4.18754863739,2.3495862484,2.11434268951,2.12000751495,2.12000751495,2.12000751495,2.12000751495,2.12000751495,5.73117685318,5.73117685318,5.73117685318,5.73117685318,5.73117685318,3.62335324287,1.97371149063,1.19748401642,0.999205172062,0.999205172062,0.999205172062,0.999205172062,0.999205172062,WheezeTest
-893.700439453,159.568374634,88.6964111328,57.3257980347,36.3274002075,25.1386222839,13.8072357178,8.2495470047,2.5701174736,-0.477458238602,-2.73387384415,-2.91311812401,-4.2839512825,49.152671814,49.152671814,49.152671814,49.152671814,49.152671814,-16.9872512817,-10.3922386169,-7.01014661789,-4.80683040619,-4.80683040619,-4.80683040619,-4.80683040619,-4.80683040619,-57.8471717834,-57.8471717834,-57.8471717834,-57.8471717834,-57.8471717834,6.95616436005,3.57135343552,2.41994476318,1.68978333473,1.68978333473,1.68978333473,1.68978333473,1.68978333473,76.9315109253,39.0140342712,16.4144897461,12.0805702209,15.4182548523,15.1255025864,13.0054664612,11.4033002853,9.48373126984,7.85497140884,8.25571727753,7.97863435745,7.24821901321,8.30992126465,8.30992126465,8.30992126465,8.30992126465,8.30992126465,4.15181922913,2.28987932205,2.10173630714,2.1458876133,2.1458876133,2.1458876133,2.1458876133,2.1458876133,5.76632261276,5.76632261276,5.76632261276,5.76632261276,5.76632261276,3.67133903503,2.00244569778,1.21173262596,1.01471567154,1.01471567154,1.01471567154,1.01471567154,1.01471567154,WheezeTest
-894.321289062,158.703155518,88.303604126,57.0215301514,36.2484207153,25.1969413757,13.8997564316,8.37145137787,2.79115509987,0.0738785266876,-2.59183764458,-2.63931679726,-4.37909030914,49.2803878784,49.2803878784,49.2803878784,49.2803878784,49.2803878784,-16.8450584412,-10.3027439117,-6.94198083878,-4.78832626343,-4.78832626343,-4.78832626343,-4.78832626343,-4.78832626343,-57.8649940491,-57.8649940491,-57.8649940491,-57.8649940491,-57.8649940491,6.93467330933,3.54680395126,2.39168214798,1.64586007595,1.64586007595,1.64586007595,1.64586007595,1.64586007595,77.5077056885,39.9658927917,16.7954502106,12.2948274612,15.3079948425,15.1965665817,12.9535188675,11.4117221832,9.78243350983,8.51204872131,8.34474372864,8.06254863739,7.22493457794,8.43898296356,8.43898296356,8.43898296356,8.43898296356,8.43898296356,4.33015489578,2.4005522728,2.14847660065,2.15193510056,2.15193510056,2.15193510056,2.15193510056,2.15193510056,5.77164840698,5.77164840698,5.77164840698,5.77164840698,5.77164840698,3.67851758003,2.00749945641,1.23811733723,1.04519283772,1.04519283772,1.04519283772,1.04519283772,1.04519283772,WheezeTest
-895.957519531,157.185913086,87.9810791016,57.3804512024,37.2350883484,26.1100597382,14.332901001,8.71810626984,2.89387083054,-0.250478029251,-2.8342192173,-2.85941314697,-4.56663370132,49.5239334106,49.5239334106,49.5239334106,49.5239334106,49.5239334106,-16.75390625,-10.3704681396,-7.08879041672,-4.9569683075,-4.9569683075,-4.9569683075,-4.9569683075,-4.9569683075,-58.0670967102,-58.0670967102,-58.0670967102,-58.0670967102,-58.0670967102,6.71573972702,3.42912173271,2.36645174026,1.69622123241,1.69622123241,1.69622123241,1.69622123241,1.69622123241,77.1338729858,38.9474868774,16.6245002747,11.959564209,14.1338729858,13.8156385422,12.3802690506,10.8405847549,9.48937034607,8.65680789948,8.14366722107,8.12636089325,7.22800207138,8.29826068878,8.29826068878,8.29826068878,8.29826068878,8.29826068878,4.24194717407,2.41026568413,2.03833675385,1.940356493,1.940356493,1.940356493,1.940356493,1.940356493,5.70390033722,5.70390033722,5.70390033722,5.70390033722,5.70390033722,3.47169327736,1.84914898872,1.21044421196,1.07511675358,1.07511675358,1.07511675358,1.07511675358,1.07511675358,WheezeTest
-896.716491699,156.727157593,87.8896331787,57.4850082397,37.3856430054,26.1628723145,14.282831192,8.76938533783,2.88730096817,-0.145648032427,-2.75273346901,-2.81306004524,-4.58085727692,49.6001014709,49.6001014709,49.6001014709,49.6001014709,49.6001014709,-16.7172107697,-10.3641881943,-7.0936665535,-4.96299791336,-4.96299791336,-4.96299791336,-4.96299791336,-4.96299791336,-58.1295204163,-58.1295204163,-58.1295204163,-58.1295204163,-58.1295204163,6.68411922455,3.42753314972,2.37624907494,1.69998240471,1.69998240471,1.69998240471,1.69998240471,1.69998240471,75.5072479248,38.4324569702,16.8597812653,12.0162973404,14.0090103149,13.8339014053,12.5371341705,10.8310480118,9.53358268738,8.60684013367,8.01633644104,7.98113203049,7.15953636169,8.15795612335,8.15795612335,8.15795612335,8.15795612335,8.15795612335,4.24167108536,2.440294981,2.04381537437,1.93083250523,1.93083250523,1.93083250523,1.93083250523,1.93083250523,5.58707952499,5.58707952499,5.58707952499,5.58707952499,5.58707952499,3.44012928009,1.87250125408,1.21983838081,1.08366692066,1.08366692066,1.08366692066,1.08366692066,1.08366692066,WheezeTest
-897.139160156,156.421661377,87.615737915,57.5379714966,37.2168273926,25.8850650787,14.2112932205,8.77523422241,2.86273765564,-0.172366574407,-2.65269398689,-2.65481686592,-4.56962108612,49.6434402466,49.6434402466,49.6434402466,49.6434402466,49.6434402466,-16.6861076355,-10.3337068558,-7.06405210495,-4.924015522,-4.924015522,-4.924015522,-4.924015522,-4.924015522,-58.1396102905,-58.1396102905,-58.1396102905,-58.1396102905,-58.1396102905,6.67931556702,3.43384575844,2.39656329155,1.6899586916,1.6899586916,1.6899586916,1.6899586916,1.6899586916,74.6412506104,37.5671463013,16.4641342163,11.7905464172,14.3252124786,14.3228960037,12.6638422012,10.8001747131,9.58908843994,8.66270065308,7.79914808273,7.86256217957,7.05563402176,8.0828371048,8.0828371048,8.0828371048,8.0828371048,8.0828371048,4.15325927734,2.42104554176,2.07547259331,1.99196493626,1.99196493626,1.99196493626,1.99196493626,1.99196493626,5.56890916824,5.56890916824,5.56890916824,5.56890916824,5.56890916824,3.41048431396,1.85471701622,1.21919119358,1.08633303642,1.08633303642,1.08633303642,1.08633303642,1.08633303642,WheezeTest
