@RELATION WheezeTest_dataset

@ATTRIBUTE MEAN_MFCC1	REAL
@ATTRIBUTE MEAN_MFCC2	REAL
@ATTRIBUTE MEAN_MFCC3	REAL
@ATTRIBUTE MEAN_MFCC4	REAL
@ATTRIBUTE MEAN_MFCC5	REAL
@ATTRIBUTE MEAN_MFCC6	REAL
@ATTRIBUTE MEAN_MFCC7	REAL
@ATTRIBUTE MEAN_MFCC8	REAL
@ATTRIBUTE MEAN_MFCC9	REAL
@ATTRIBUTE MEAN_MFCC10	REAL
@ATTRIBUTE MEAN_MFCC11	REAL
@ATTRIBUTE MEAN_MFCC12	REAL
@ATTRIBUTE MEAN_MFCC13	REAL
@ATTRIBUTE MEAN_MFCCD1	REAL
@ATTRIBUTE MEAN_MFCCD2	REAL
@ATTRIBUTE MEAN_MFCCD3	REAL
@ATTRIBUTE MEAN_MFCCD4	REAL
@ATTRIBUTE MEAN_MFCCD5	REAL
@ATTRIBUTE MEAN_MFCCD6	REAL
@ATTRIBUTE MEAN_MFCCD7	REAL
@ATTRIBUTE MEAN_MFCCD8	REAL
@ATTRIBUTE MEAN_MFCCD9	REAL
@ATTRIBUTE MEAN_MFCCD10	REAL
@ATTRIBUTE MEAN_MFCCD11	REAL
@ATTRIBUTE MEAN_MFCCD12	REAL
@ATTRIBUTE MEAN_MFCCD13	REAL
@ATTRIBUTE MEAN_MFCCDD1	REAL
@ATTRIBUTE MEAN_MFCCDD2	REAL
@ATTRIBUTE MEAN_MFCCDD3	REAL
@ATTRIBUTE MEAN_MFCCDD4	REAL
@ATTRIBUTE MEAN_MFCCDD5	REAL
@ATTRIBUTE MEAN_MFCCDD6	REAL
@ATTRIBUTE MEAN_MFCCDD7	REAL
@ATTRIBUTE MEAN_MFCCDD8	REAL
@ATTRIBUTE MEAN_MFCCDD9	REAL
@ATTRIBUTE MEAN_MFCCDD10	REAL
@ATTRIBUTE MEAN_MFCCDD11	REAL
@ATTRIBUTE MEAN_MFCCDD12	REAL
@ATTRIBUTE MEAN_MFCCDD13	REAL
@ATTRIBUTE STD_MFCC1	REAL
@ATTRIBUTE STD_MFCC2	REAL
@ATTRIBUTE STD_MFCC3	REAL
@ATTRIBUTE STD_MFCC4	REAL
@ATTRIBUTE STD_MFCC5	REAL
@ATTRIBUTE STD_MFCC6	REAL
@ATTRIBUTE STD_MFCC7	REAL
@ATTRIBUTE STD_MFCC8	REAL
@ATTRIBUTE STD_MFCC9	REAL
@ATTRIBUTE STD_MFCC10	REAL
@ATTRIBUTE STD_MFCC11	REAL
@ATTRIBUTE STD_MFCC12	REAL
@ATTRIBUTE STD_MFCC13	REAL
@ATTRIBUTE STD_MFCCD1	REAL
@ATTRIBUTE STD_MFCCD2	REAL
@ATTRIBUTE STD_MFCCD3	REAL
@ATTRIBUTE STD_MFCCD4	REAL
@ATTRIBUTE STD_MFCCD5	REAL
@ATTRIBUTE STD_MFCCD6	REAL
@ATTRIBUTE STD_MFCCD7	REAL
@ATTRIBUTE STD_MFCCD8	REAL
@ATTRIBUTE STD_MFCCD9	REAL
@ATTRIBUTE STD_MFCCD10	REAL
@ATTRIBUTE STD_MFCCD11	REAL
@ATTRIBUTE STD_MFCCD12	REAL
@ATTRIBUTE STD_MFCCD13	REAL
@ATTRIBUTE STD_MFCCDD1	REAL
@ATTRIBUTE STD_MFCCDD2	REAL
@ATTRIBUTE STD_MFCCDD3	REAL
@ATTRIBUTE STD_MFCCDD4	REAL
@ATTRIBUTE STD_MFCCDD5	REAL
@ATTRIBUTE STD_MFCCDD6	REAL
@ATTRIBUTE STD_MFCCDD7	REAL
@ATTRIBUTE STD_MFCCDD8	REAL
@ATTRIBUTE STD_MFCCDD9	REAL
@ATTRIBUTE STD_MFCCDD10	REAL
@ATTRIBUTE STD_MFCCDD11	REAL
@ATTRIBUTE STD_MFCCDD12	REAL
@ATTRIBUTE STD_MFCCDD13	REAL
@ATTRIBUTE class 	{WheezeTest}

@DATA
-923.59185791,148.365432739,87.2514038086,63.1471214294,41.8438682556,30.9346122742,22.5939235687,14.829454422,10.6250572205,6.28049564362,2.71826148033,0.854075133801,-0.945664763451,52.9122085571,52.9122085571,52.9122085571,52.9122085571,52.9122085571,-15.2350606918,-9.78791809082,-7.13043451309,-5.16166687012,-5.16166687012,-5.16166687012,-5.16166687012,-5.16166687012,-60.0340652466,-60.0340652466,-60.0340652466,-60.0340652466,-60.0340652466,5.794962883,2.93403625488,2.04531621933,1.28528749943,1.28528749943,1.28528749943,1.28528749943,1.28528749943,65.9402389526,38.0393447876,17.5886573792,10.2950792313,9.76759719849,11.3112382889,11.3131065369,9.85608577728,8.81368160248,7.7518863678,6.0727763176,5.91988182068,5.53236532211,7.55199050903,7.55199050903,7.55199050903,7.55199050903,7.55199050903,4.34313631058,2.27290034294,1.59600865841,1.59634590149,1.59634590149,1.59634590149,1.59634590149,1.59634590149,4.44599914551,4.44599914551,4.44599914551,4.44599914551,4.44599914551,2.9536588192,1.85288667679,1.25980377197,0.843139648438,0.843139648438,0.843139648438,0.843139648438,0.843139648438,WheezeTest
-924.061157227,148.06338501,86.981918335,63.1642303467,41.8870048523,31.0191173553,22.8354816437,14.9775009155,10.5902423859,6.32325267792,2.95300292969,0.929328501225,-0.966493785381,52.9818344116,52.9818344116,52.9818344116,52.9818344116,52.9818344116,-15.1926708221,-9.75456237793,-7.12297582626,-5.1683754921,-5.1683754921,-5.1683754921,-5.1683754921,-5.1683754921,-60.0720596313,-60.0720596313,-60.0720596313,-60.0720596313,-60.0720596313,5.75764513016,2.9136800766,2.03890419006,1.27529847622,1.27529847622,1.27529847622,1.27529847622,1.27529847622,66.2924499512,38.3363800049,17.946641922,10.3989419937,9.57933330536,11.3483638763,11.4311523438,9.98857116699,8.87748622894,7.72017145157,6.22511863708,5.92089414597,5.46540117264,7.61584043503,7.61584043503,7.61584043503,7.61584043503,7.61584043503,4.39086151123,2.31232571602,1.58853685856,1.57700967789,1.57700967789,1.57700967789,1.57700967789,1.57700967789,4.45424699783,4.45424699783,4.45424699783,4.45424699783,4.45424699783,2.96665143967,1.86169445515,1.27223992348,0.856867313385,0.856867313385,0.856867313385,0.856867313385,0.856867313385,WheezeTest
-923.493896484,148.740463257,87.3215408325,63.2055587769,41.8699760437,30.8501167297,23.1564216614,15.1652030945,10.7175502777,6.29957103729,2.9665248394,1.12651264668,-0.729740858078,52.9238777161,52.9238777161,52.9238777161,52.9238777161,52.9238777161,-15.2394962311,-9.7687959671,-7.10944128036,-5.14691734314,-5.14691734314,-5.14691734314,-5.14691734314,-5.14691734314,-60.0228385925,-60.0228385925,-60.0228385925,-60.0228385925,-60.0228385925,5.79648780823,2.91885828972,2.03202319145,1.2717038393,1.2717038393,1.2717038393,1.2717038393,1.2717038393,65.831451416,37.635471344,17.7282218933,10.3806228638,9.69809818268,11.365729332,11.5029096603,9.99621200562,8.88398838043,7.8049864769,6.33591794968,6.04101371765,5.60746240616,7.57052183151,7.57052183151,7.57052183151,7.57052183151,7.57052183151,4.36497020721,2.34143400192,1.6347694397,1.61109960079,1.61109960079,1.61109960079,1.61109960079,1.61109960079,4.42126178741,4.42126178741,4.42126178741,4.42126178741,4.42126178741,2.93735575676,1.85623669624,1.27256035805,0.865020036697,0.865020036697,0.865020036697,0.865020036697,0.865020036697,WheezeTest
-924.85357666,147.410140991,86.9413757324,63.5371398926,42.0879592896,31.2687320709,23.4037723541,15.3956794739,10.9052524567,6.56520986557,3.38255786896,1.46030044556,-0.563574016094,53.1274375916,53.1274375916,53.1274375916,53.1274375916,53.1274375916,-15.1075839996,-9.72316074371,-7.10548400879,-5.14840507507,-5.14840507507,-5.14840507507,-5.14840507507,-5.14840507507,-60.1452713013,-60.1452713013,-60.1452713013,-60.1452713013,-60.1452713013,5.68406867981,2.88846445084,2.04412078857,1.26851785183,1.26851785183,1.26851785183,1.26851785183,1.26851785183,66.3714752197,38.2580909729,17.860824585,10.2500810623,9.58776473999,11.3472290039,11.6647672653,10.1030578613,9.05400371552,8.00701808929,6.70192575455,6.16565275192,5.6785531044,7.67038583755,7.67038583755,7.67038583755,7.67038583755,7.67038583755,4.43602848053,2.37149143219,1.63264358044,1.60309183598,1.60309183598,1.60309183598,1.60309183598,1.60309183598,4.45706605911,4.45706605911,4.45706605911,4.45706605911,4.45706605911,2.98079609871,1.86567127705,1.2708786726,0.874493062496,0.874493062496,0.874493062496,0.874493062496,0.874493062496,WheezeTest
-925.178466797,147.097366333,86.5841674805,63.0848121643,41.824596405,31.1069259644,23.3149318695,15.3448390961,10.9021930695,6.60936069489,3.51311850548,1.41099905968,-0.651039958,53.1757698059,53.1757698059,53.1757698059,53.1757698059,53.1757698059,-15.0497846603,-9.65528964996,-7.05062532425,-5.12215614319,-5.12215614319,-5.12215614319,-5.12215614319,-5.12215614319,-60.1289367676,-60.1289367676,-60.1289367676,-60.1289367676,-60.1289367676,5.69100761414,2.8848259449,2.01932668686,1.24371230602,1.24371230602,1.24371230602,1.24371230602,1.24371230602,66.7647399902,38.5240020752,18.2957191467,10.6796703339,9.62961769104,11.4471645355,11.7159776688,10.1066131592,9.1079826355,7.96963882446,6.75655889511,6.05885267258,5.55404520035,7.71858644485,7.71858644485,7.71858644485,7.71858644485,7.71858644485,4.48266029358,2.42520070076,1.66018998623,1.61181426048,1.61181426048,1.61181426048,1.61181426048,1.61181426048,4.47187376022,4.47187376022,4.47187376022,4.47187376022,4.47187376022,2.97767734528,1.86942124367,1.2898979187,0.891983568668,0.891983568668,0.891983568668,0.891983568668,0.891983568668,WheezeTest
-925.984558105,146.758621216,86.6599884033,63.0623779297,41.8335037231,31.2315750122,23.5301036835,15.3466672897,10.9184131622,6.64699840546,3.56693935394,1.06123554707,-0.961618185043,53.2547225952,53.2547225952,53.2547225952,53.2547225952,53.2547225952,-15.0234289169,-9.6555557251,-7.07641792297,-5.17195701599,-5.17195701599,-5.17195701599,-5.17195701599,-5.17195701599,-60.1911010742,-60.1911010742,-60.1911010742,-60.1911010742,-60.1911010742,5.66086912155,2.87850904465,1.98631536961,1.21520590782,1.21520590782,1.21520590782,1.21520590782,1.21520590782,67.2169647217,38.8316192627,18.2384777069,10.5293340683,9.71284675598,11.5142002106,11.8721809387,10.1510438919,9.21077060699,7.98662853241,6.82966327667,5.77390527725,5.41064929962,7.78174257278,7.78174257278,7.78174257278,7.78174257278,7.78174257278,4.51210308075,2.41900730133,1.62950694561,1.61004757881,1.61004757881,1.61004757881,1.61004757881,1.61004757881,4.48460245132,4.48460245132,4.48460245132,4.48460245132,4.48460245132,2.9941265583,1.8760228157,1.31988883018,0.934803366661,0.934803366661,0.934803366661,0.934803366661,0.934803366661,WheezeTest
-926.525390625,146.104949951,86.1480178833,62.8539962769,41.6018257141,31.1473312378,23.5931434631,15.3796072006,11.0560445786,6.74990367889,3.69566226006,1.57553625107,-0.762007415295,53.3555145264,53.3555145264,53.3555145264,53.3555145264,53.3555145264,-14.9275512695,-9.58301448822,-7.00273752213,-5.10992193222,-5.10992193222,-5.10992193222,-5.10992193222,-5.10992193222,-60.1963729858,-60.1963729858,-60.1963729858,-60.1963729858,-60.1963729858,5.63470745087,2.85447001457,1.99416422844,1.20550119877,1.20550119877,1.20550119877,1.20550119877,1.20550119877,67.7074584961,39.5498313904,18.7142734528,10.8205738068,9.79676628113,11.4610414505,11.9024152756,10.1141901016,9.21027088165,8.05895328522,6.99427080154,6.36156368256,5.60923910141,7.86911773682,7.86911773682,7.86911773682,7.86911773682,7.86911773682,4.6070971489,2.49272561073,1.71459674835,1.66078686714,1.66078686714,1.66078686714,1.66078686714,1.66078686714,4.4838142395,4.4838142395,4.4838142395,4.4838142395,4.4838142395,3.00745677948,1.88431406021,1.31839692593,0.931814014912,0.931814014912,0.931814014912,0.931814014912,0.931814014912,WheezeTest
-927.901672363,144.776977539,85.4978103638,62.8734207153,42.008190155,31.9100875854,24.3936157227,15.8010854721,11.3446922302,7.01953125,3.76690769196,1.43168973923,-1.01745188236,53.6147384644,53.6147384644,53.6147384644,53.6147384644,53.6147384644,-14.7541370392,-9.53202342987,-7.05534553528,-5.22621059418,-5.22621059418,-5.22621059418,-5.22621059418,-5.22621059418,-60.3250007629,-60.3250007629,-60.3250007629,-60.3250007629,-60.3250007629,5.48002624512,2.73350358009,1.91766154766,1.17100417614,1.17100417614,1.17100417614,1.17100417614,1.17100417614,67.4142150879,38.8548545837,18.1667251587,10.7927322388,9.39312076569,10.4228696823,10.7286434174,9.48705673218,8.78028297424,7.5703163147,6.80614185333,6.42817306519,5.65044593811,7.72978210449,7.72978210449,7.72978210449,7.72978210449,7.72978210449,4.45021724701,2.44169187546,1.72884619236,1.60790646076,1.60790646076,1.60790646076,1.60790646076,1.60790646076,4.45141458511,4.45141458511,4.45141458511,4.45141458511,4.45141458511,2.89206218719,1.74734926224,1.23056864738,0.889770388603,0.889770388603,0.889770388603,0.889770388603,0.889770388603,WheezeTest
-928.56048584,144.394210815,85.3392181396,62.8983879089,42.1525382996,32.0236740112,24.520324707,15.7548904419,11.3745594025,7.06123924255,3.76436901093,1.52331471443,-0.932804822922,53.6884536743,53.6884536743,53.6884536743,53.6884536743,53.6884536743,-14.7190828323,-9.52725982666,-7.06225776672,-5.23413276672,-5.23413276672,-5.23413276672,-5.23413276672,-5.23413276672,-60.3804168701,-60.3804168701,-60.3804168701,-60.3804168701,-60.3804168701,5.44288110733,2.71376466751,1.92042529583,1.18471479416,1.18471479416,1.18471479416,1.18471479416,1.18471479416,65.9847259521,38.3452682495,18.2304954529,10.985247612,9.40030002594,10.3472032547,10.5976667404,9.59024620056,8.76936626434,7.55099725723,6.83198595047,6.40351390839,5.60218286514,7.59022188187,7.59022188187,7.59022188187,7.59022188187,7.59022188187,4.43736076355,2.48206591606,1.75352931023,1.61521208286,1.61521208286,1.61521208286,1.61521208286,1.61521208286,4.35639429092,4.35639429092,4.35639429092,4.35639429092,4.35639429092,2.83337163925,1.73547112942,1.24807858467,0.899955511093,0.899955511093,0.899955511093,0.899955511093,0.899955511093,WheezeTest
-928.998535156,144.257156372,85.0236434937,62.8075256348,42.194152832,31.8442325592,24.3338985443,15.5911893845,11.4112911224,7.05259895325,3.76771950722,1.51027274132,-0.915808796883,53.7216148376,53.7216148376,53.7216148376,53.7216148376,53.7216148376,-14.699136734,-9.50178813934,-7.04956912994,-5.21854257584,-5.21854257584,-5.21854257584,-5.21854257584,-5.21854257584,-60.3924789429,-60.3924789429,-60.3924789429,-60.3924789429,-60.3924789429,5.44733142853,2.71267652512,1.93066048622,1.19327199459,1.19327199459,1.19327199459,1.19327199459,1.19327199459,65.0688476562,37.9108467102,17.4165439606,10.8963060379,9.28026390076,10.7236442566,10.9772968292,9.83413219452,8.73652744293,7.52132368088,6.84969568253,6.41838169098,5.56319141388,7.53637456894,7.53637456894,7.53637456894,7.53637456894,7.53637456894,4.36521863937,2.41629576683,1.74666440487,1.63574528694,1.63574528694,1.63574528694,1.63574528694,1.63574528694,4.31844377518,4.31844377518,4.31844377518,4.31844377518,4.31844377518,2.83672070503,1.72170639038,1.25467419624,0.896286308765,0.896286308765,0.896286308765,0.896286308765,0.896286308765,WheezeTest
